method,run,epoch,stage,total_loss,data_thickness_group_loss,data_rate_loss,data_uniformity_loss,data_ri_loss,data_stress_loss,phys_ht_loss,phys_maxmin_loss,phys_uniformity_def_loss,phys_mono_t_loss,phys_nonneg_h_loss,phys_nonneg_r_loss,train_thk_rmse,val_thk_rmse
PINN20260414,1,1,pretrain,6.026806831359863,3.057229995727539,1.0467772483825684,2.019122362136841,1.027365803718567,1.0194698572158813,114244480.0,1871.2596435546875,3.368509292602539,0.22380860149860382,0.0,0.0,2253.3464003565896,1918.9553147481054
PINN20260414,1,3,pretrain,5.42437744140625,2.7956206798553467,0.7871325612068176,1.9073357582092285,0.939320981502533,0.9578405022621155,82437984.0,2699.384765625,2.3815834522247314,0.1406514048576355,0.0,0.0,2138.6834735416087,1795.4834307227677
PINN20260414,1,5,pretrain,4.811471462249756,2.5019359588623047,0.5727121829986572,1.7698473930358887,0.8619009256362915,0.8893934488296509,56300880.0,5364.98095703125,2.6055991649627686,0.0668407455086708,0.0,0.0,1990.428283058699,1640.302334937069
PINN20260414,1,7,pretrain,4.124829292297363,2.1353399753570557,0.38781580328941345,1.6038306951522827,0.783288300037384,0.8072453141212463,34610968.0,10680.5537109375,4.352252006530762,0.04098454490303993,0.0,0.0,1803.6151196971043,1455.2634641191264
PINN20260414,1,9,pretrain,3.441852569580078,1.7332425117492676,0.2506732642650604,1.4374194145202637,0.7070335149765015,0.7256130576133728,18432804.0,19960.189453125,7.0003180503845215,0.036329761147499084,0.0,0.0,1621.2096563985795,1296.3512255557905
PINN20260414,1,11,pretrain,2.9383907318115234,1.420019507408142,0.17559021711349487,1.3110501766204834,0.6457038521766663,0.6659749150276184,8710724.0,35469.23046875,9.549278259277344,0.012335294857621193,0.0,0.0,1537.4895934607168,1257.0869102810673
PINN20260414,1,12,pretrain,2.8026034832000732,1.341977596282959,0.15612497925758362,1.2703936100006104,0.6246857643127441,0.6472305059432983,6035582.5,43072.421875,10.951765060424805,0.00030547770438715816,0.0,0.0,1541.442425133031,1276.1659374861877
PINN20260414,1,14,pretrain,2.698859691619873,1.3096402883529663,0.1290309578180313,1.2257485389709473,0.5970736742019653,0.6234322786331177,3518941.0,38446.4375,14.409046173095703,0.0,0.0,0.0,1532.9192738040708,1270.1887654990499
PINN20260414,1,16,pretrain,2.5323727130889893,1.2221078872680664,0.09566345065832138,1.1835424900054932,0.562005341053009,0.5976126790046692,2569492.0,10566.53125,8.336735725402832,0.0,0.0,0.0,1414.6788946612585,1159.571418671571
PINN20260414,1,18,pretrain,2.2191548347473145,1.0078248977661133,0.06586869806051254,1.1160118579864502,0.5144322514533997,0.5665099620819092,1846345.625,1832.585693359375,3.737687826156616,0.0,0.0,0.0,1254.2086648560519,1075.9292495327004
PINN20260414,1,20,pretrain,1.9649027585983276,0.8139863014221191,0.06383141130208969,1.0597736835479736,0.476021945476532,0.5471562743186951,1289333.625,5900.966796875,5.037640571594238,0.0,0.0,0.0,1168.8197038037988,1129.9688601904036
PINN20260414,1,22,pretrain,1.8854472637176514,0.7375363707542419,0.08368408679962158,1.0448260307312012,0.4564322829246521,0.5429898500442505,1058433.875,10614.201171875,5.439646244049072,0.0,0.0,0.0,1159.0628757750806,1219.943697471322
PINN20260414,1,24,pretrain,1.8561207056045532,0.706055760383606,0.09436558932065964,1.0447965860366821,0.44477468729019165,0.539569079875946,961405.4375,12408.1806640625,4.608802795410156,0.0,0.0,0.0,1122.1458238571313,1195.02039731546
PINN20260414,1,26,pretrain,1.74977707862854,0.6288148760795593,0.08425850421190262,1.0288244485855103,0.4303026497364044,0.528279185295105,794227.625,11269.5625,4.273967742919922,0.0,0.0,0.0,1031.6272946175861,1053.1350815541186
