target           , MAE            , RMSE           , R2
deposition_rate  , 626.98 ± 226.04, 818.23 ± 269.99, 0.86 ± 0.07
max_thickness    , 512.61 ± 218.04, 721.07 ± 254.80, 0.85 ± 0.12
min_thickness    , 488.70 ± 191.44, 671.23 ± 224.39, 0.84 ± 0.12
ri               , 0.0033 ± 0.0007, 0.0046 ± 0.0012, -0.07 ± 1.11
stress           , 52.24 ± 12.18  , 73.03 ± 14.65  , 0.04 ± 0.69
thickness        , 405.09 ± 118.62, 588.31 ± 165.06, 0.88 ± 0.11
uniformity_1sigma, 0.46 ± 0.21    , 0.62 ± 0.25    , -0.73 ± 1.77
uniformity_range , 0.89 ± 0.46    , 1.21 ± 0.57    , -1.10 ± 2.35
