method,run,epoch,stage,total_loss,data_thickness_group_loss,data_log_thickness_loss,data_range_loss,data_rate_loss,data_log_rate_loss,data_uniformity_loss,data_ri_loss,data_stress_loss,phys_closure_loss,phys_rate_residual_loss,phys_profile_smooth_loss,phys_kim_state_loss,train_thk_rmse,val_thk_rmse,val_score,mean_u_oh,mean_j_crosslink,mean_si_o_survival,mean_rate_residual
PINN20260512-HS,1,1,pretrain,11.675785064697266,2.8541667461395264,3.995666980743408,0.6786778569221497,1.465766429901123,1.3332068920135498,3.22349214553833,1.1319451332092285,0.5627751350402832,0.0,0.0,0.0,0.0,3701.3771761332296,3048.4236910245922,5.260251157280595,0.4917910397052765,0.08866845816373825,0.8557066321372986,0.0
PINN20260512-HS,1,5,pretrain,11.015765190124512,2.7294020652770996,3.7484569549560547,0.5835457444190979,1.414614200592041,1.2486313581466675,1.9859567880630493,0.4235987961292267,0.5287798643112183,0.0,0.0,0.0,0.0,3576.389659978342,2952.5617690405734,4.807572509455073,0.4935675263404846,0.0899658277630806,0.856606125831604,0.021590493619441986
PINN20260512-HS,1,9,pretrain,10.195310592651367,2.555124282836914,3.438628673553467,0.4552471339702606,1.3427820205688477,1.1422408819198608,0.9528483152389526,0.583601713180542,0.49681827425956726,0.0,0.0,0.0,0.0,3399.7304304900413,2822.576482577576,4.433655096451751,0.4956338107585907,0.09185826778411865,0.8575029373168945,0.05926657095551491
PINN20260512-HS,1,13,pretrain,9.157541275024414,2.311605215072632,3.0564050674438477,0.32407906651496887,1.2416337728500366,1.0119273662567139,0.9003893136978149,0.47524571418762207,0.4677480161190033,0.0,0.0,0.0,0.0,3152.933871808922,2654.2103345439677,4.115965019511804,0.49799588322639465,0.0945173129439354,0.8583880066871643,0.1171993538737297
PINN20260512-HS,1,18,pretrain,7.530867099761963,1.897254467010498,2.507591485977173,0.2023337483406067,1.059733271598816,0.8281126618385315,1.3843660354614258,0.44032061100006104,0.43622034788131714,0.0,0.0,0.0,0.0,2730.3280938378084,2416.8371893861613,3.814613268267185,0.5014294981956482,0.0985642522573471,0.859473705291748,0.22142615914344788
PINN20260512-HS,1,22,pretrain,6.089286804199219,1.5167593955993652,2.0628280639648438,0.172235369682312,0.8673619627952576,0.6803510189056396,1.498966932296753,0.47076019644737244,0.4149673879146576,0.0,0.0,0.0,0.0,2346.5396864319173,2292.2785607338387,3.5641180653393,0.504673182964325,0.10213062167167664,0.8603227734565735,0.324802428483963
PINN20260512-HS,1,26,pretrain,4.78838586807251,1.1824233531951904,1.6493332386016846,0.17946623265743256,0.6523081660270691,0.5446698069572449,1.1482832431793213,0.42267435789108276,0.39700886607170105,0.0,0.0,0.0,0.0,2047.3089043913233,2326.0147248029193,3.370118289019929,0.5085554718971252,0.10583321750164032,0.8611598014831543,0.4307928681373596
PINN20260512-HS,1,30,pretrain,3.8316378593444824,0.9613189697265625,1.2963567972183228,0.13685184717178345,0.4598517119884491,0.42959147691726685,0.6292035579681396,0.42280879616737366,0.38230618834495544,0.0,0.0,0.0,0.0,1928.7515392087182,2501.7133129117733,3.4229013782764044,0.5136582255363464,0.10956171154975891,0.8619934320449829,0.5227909684181213
PINN20260512-HS,1,34,pretrain,3.3319151401519775,0.8491640090942383,1.0566108226776123,0.12193149328231812,0.34279969334602356,0.35137319564819336,0.753720760345459,0.4164559543132782,0.3713928759098053,0.0,0.0,0.0,0.0,1932.8931036143722,2690.2526832994704,3.62040859233468,0.5206214785575867,0.11307632178068161,0.8627967834472656,0.5902940034866333
PINN20260512-HS,1,38,pretrain,3.0388870239257812,0.7807244062423706,0.9331421852111816,0.10481860488653183,0.30145859718322754,0.31103625893592834,0.7160910367965698,0.41430801153182983,0.3651750385761261,0.0,0.0,0.0,0.0,1882.397739586403,2727.6914231635515,3.559225666192914,0.5285075306892395,0.11550932377576828,0.863418698310852,0.6267727613449097
PINN20260512-HS,1,42,pretrain,2.6693263053894043,0.6708528995513916,0.8570601940155029,0.11993159353733063,0.28697189688682556,0.28600838780403137,0.6175999641418457,0.41022250056266785,0.36244261264801025,0.0,0.0,0.0,0.0,1701.1611475695065,2574.2074508477363,3.3482757274593387,0.5357673168182373,0.11631376296281815,0.8637482523918152,0.635712742805481
PINN20260512-HS,1,46,pretrain,2.2447762489318848,0.5433850288391113,0.7967831492424011,0.10494686663150787,0.2780025899410248,0.26562047004699707,0.609857439994812,0.4069589376449585,0.3608233332633972,0.0,0.0,0.0,0.0,1474.5644272123209,2311.9490695082363,3.1383493231978745,0.5420833826065063,0.11585567146539688,0.8638501763343811,0.6248263120651245
