method,run,run_started_at,runtime_seconds,target,mae,rmse,r2
XGBBaseline,1,2026-05-12T09:37:21,0.645372,thickness,192.17935180664062,378.19307238499226,0.9271200895309448
XGBBaseline,1,2026-05-12T09:37:21,0.645372,max_thickness,200.48431396484375,396.56864159940835,0.9237300753593445
XGBBaseline,1,2026-05-12T09:37:21,0.645372,min_thickness,188.21453857421875,358.2552555441441,0.9315309524536133
XGBBaseline,1,2026-05-12T09:37:21,0.645372,deposition_rate,279.5443163214395,419.393616874389,0.9551239652869061
XGBBaseline,1,2026-05-12T09:37:21,0.645372,uniformity_range,0.35135949655012655,0.5143793817689764,-0.08631588081453212
XGBBaseline,1,2026-05-12T09:37:21,0.645372,uniformity_1sigma,0.1935192036628723,0.27733667600311557,0.037015119249905526
XGBBaseline,1,2026-05-12T09:37:21,0.645372,ri,0.002366891444813128,0.0027947711417274424,-0.23534440087645825
XGBBaseline,1,2026-05-12T09:37:21,0.645372,stress,34.30000305175781,42.30442131148942,0.20395630598068237
XGBBaseline,2,2026-05-12T09:37:49,0.635019,thickness,772.1514282226562,1539.3272069316517,0.6034058332443237
XGBBaseline,2,2026-05-12T09:37:49,0.635019,max_thickness,917.366943359375,1650.8303971032276,0.600816011428833
XGBBaseline,2,2026-05-12T09:37:49,0.635019,min_thickness,811.611328125,1537.478373831645,0.5790019035339355
XGBBaseline,2,2026-05-12T09:37:49,0.635019,deposition_rate,427.92944999524553,721.3017434903134,0.9241269905266993
XGBBaseline,2,2026-05-12T09:37:49,0.635019,uniformity_range,0.5655926702239296,1.0384311577987138,0.36796212875976864
XGBBaseline,2,2026-05-12T09:37:49,0.635019,uniformity_1sigma,0.36621414661407475,0.5849553514264021,0.300555726211294
XGBBaseline,2,2026-05-12T09:37:49,0.635019,ri,0.0022986899115822494,0.0038750365840959744,-0.12580992228241383
XGBBaseline,2,2026-05-12T09:37:49,0.635019,stress,63.519996643066406,95.65598456349974,-1.1676883697509766
XGBBaseline,3,2026-05-12T09:38:27,0.648859,thickness,365.2374572753906,554.0388355070428,0.9296915531158447
XGBBaseline,3,2026-05-12T09:38:27,0.648859,max_thickness,335.3177795410156,537.1914521378761,0.937644362449646
XGBBaseline,3,2026-05-12T09:38:27,0.648859,min_thickness,330.3971862792969,514.7218302151173,0.9351311922073364
XGBBaseline,3,2026-05-12T09:38:27,0.648859,deposition_rate,492.64365449190274,664.0574902869083,0.8975731704003301
XGBBaseline,3,2026-05-12T09:38:27,0.648859,uniformity_range,0.7033950225512187,0.9350616037555148,-0.21620805129478593
XGBBaseline,3,2026-05-12T09:38:27,0.648859,uniformity_1sigma,0.40681626280148825,0.5169063319975808,-0.23597650392666902
