method,run,epoch,stage,total_loss,data_thickness_group_loss,data_log_thickness_loss,data_range_loss,data_rate_loss,data_log_rate_loss,data_uniformity_loss,data_ri_loss,data_stress_loss,phys_closure_loss,phys_layer_state_loss,phys_monotonic_loss,phys_profile_smooth_loss,phys_rate_residual_loss,pinn_precursor_residual_loss,pinn_surface_oh_residual_loss,pinn_growth_residual_loss,train_thk_rmse,val_thk_rmse,val_score,mean_top_oh,mean_side_cross,mean_deep_cross,mean_si_o_survival
PINN20260517-KimLayered,1,1,pretrain,31.43630027770996,3.561077117919922,6.971484184265137,3.172168731689453,1.7649216651916504,1.9550143480300903,122.6182861328125,0.7371620535850525,0.6933402419090271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4278.94091796875,3533.582763671875,45.2643014179227,0.41727226972579956,0.005318784154951572,0.00107274716719985,0.8006786704063416
PINN20260517-KimLayered,1,4,pretrain,30.632963180541992,3.529114246368408,6.789830684661865,3.2417140007019043,1.7480740547180176,1.9023947715759277,117.47834777832031,0.5092055201530457,0.6416180729866028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4239.96435546875,3502.149658203125,43.44869739508455,0.4197337031364441,0.0054230536334216595,0.001094031729735434,0.801615297794342
PINN20260517-KimLayered,1,8,pretrain,29.220306396484375,3.471323251724243,6.442853927612305,3.2643275260925293,1.7201969623565674,1.8209166526794434,108.59244537353516,0.5195491909980774,0.5701650977134705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4175.33740234375,3450.427490234375,40.42589394342989,0.42327961325645447,0.005672141909599304,0.0011473208433017135,0.8028155565261841
PINN20260517-KimLayered,1,11,pretrain,27.92896842956543,3.415064573287964,6.141535758972168,3.25313138961792,1.6937090158462524,1.7490192651748657,100.68098449707031,0.4800418019294739,0.5170322060585022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4112.927734375,3401.013427734375,37.75945293845173,0.4262278378009796,0.00589987076818943,0.0011936051305383444,0.8036877512931824
PINN20260517-KimLayered,1,14,pretrain,26.419469833374023,3.3422980308532715,5.799627780914307,3.210266351699829,1.660678744316101,1.6655054092407227,91.63095092773438,0.5048307180404663,0.46707984805107117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4033.447998046875,3338.9521484375,34.74060122188163,0.4294551908969879,0.006155958399176598,0.001244966173544526,0.8045458793640137
PINN20260517-KimLayered,1,17,pretrain,24.658767700195312,3.247321128845215,5.4164581298828125,3.1214637756347656,1.6194120645523071,1.5694464445114136,81.5030288696289,0.47061216831207275,0.4257524609565735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3931.9794921875,3260.8876953125,31.384843301878632,0.43290966749191284,0.0064416504465043545,0.0013019589241594076,0.8053878545761108
PINN20260517-KimLayered,1,21,pretrain,21.900827407836914,3.076986789703369,4.849734306335449,2.873004198074341,1.5487686395645142,1.4255441427230835,66.48848724365234,0.4704923629760742,0.38916346430778503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3757.253662109375,3128.348876953125,26.47850732359009,0.4377908706665039,0.006869192700833082,0.0013867913512513041,0.8065109848976135
PINN20260517-KimLayered,1,24,pretrain,19.54041290283203,2.9150242805480957,4.4002509117126465,2.534348726272583,1.4837795495986938,1.3092427253723145,54.48314666748047,0.4656355082988739,0.37584713101387024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3599.471435546875,3009.8095703125,22.603852072085253,0.44155624508857727,0.007218664977699518,0.0014557791873812675,0.807370662689209
PINN20260517-KimLayered,1,27,pretrain,17.014055252075195,2.7290496826171875,3.966702699661255,2.0332698822021484,1.410507321357727,1.1968296766281128,42.40727996826172,0.44855090975761414,0.37164801359176636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3427.67578125,2881.35009765625,18.718349434478,0.4453336000442505,0.007584714330732822,0.0015277080237865448,0.8082648515701294
PINN20260517-KimLayered,1,30,pretrain,14.556870460510254,2.52882719039917,3.576979637145996,1.4540531635284424,1.3325600624084473,1.097144603729248,31.434829711914062,0.4498802721500397,0.37258321046829224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3253.135986328125,2751.271240234375,15.01272610643798,0.44907793402671814,0.007957889698445797,0.0016006719088181853,0.8092150688171387
