method,run,run_started_at,runtime_seconds,target,mae,rmse,r2
PINN20260517-KimLayered,1,2026-05-22T15:37:58,76.449235,thickness,139.60153198242188,201.5562208324268,0.979299875259859
PINN20260517-KimLayered,1,2026-05-22T15:37:58,76.449235,max_thickness,207.83944702148438,328.1691517914199,0.9477709426113936
PINN20260517-KimLayered,1,2026-05-22T15:37:58,76.449235,min_thickness,136.54403686523438,190.50583365411674,0.9806390897763716
PINN20260517-KimLayered,1,2026-05-22T15:37:58,76.449235,deposition_rate,232.21002197265625,293.3603532773302,0.9780429663179944
PINN20260517-KimLayered,1,2026-05-22T15:37:58,76.449235,uniformity_range,0.42898157238960266,0.5614815074358583,-0.2943744172920568
PINN20260517-KimLayered,1,2026-05-22T15:37:58,76.449235,uniformity_1sigma,0.240478515625,0.32034912132632687,-0.28484860202299345
PINN20260517-KimLayered,1,2026-05-22T15:37:58,76.449235,ri,0.0021752282045781612,0.002704098328946087,-0.15649016655674197
PINN20260517-KimLayered,1,2026-05-22T15:37:58,76.449235,stress,34.47652816772461,42.27296464691189,0.2051397429727283
PINN20260517-KimLayered,2,2026-05-22T15:39:17,40.234284,thickness,365.46099853515625,553.1465956236194,0.9487887978395073
PINN20260517-KimLayered,2,2026-05-22T15:39:17,40.234284,max_thickness,488.9463195800781,837.2872864196613,0.8973125862856134
PINN20260517-KimLayered,2,2026-05-22T15:39:17,40.234284,min_thickness,373.5057678222656,569.2310877402955,0.942291554936982
PINN20260517-KimLayered,2,2026-05-22T15:39:17,40.234284,deposition_rate,470.5355529785156,677.3730739038864,0.9330872117054292
PINN20260517-KimLayered,2,2026-05-22T15:39:17,40.234284,uniformity_range,0.5121470093727112,0.9338073486120675,0.4889042814535415
PINN20260517-KimLayered,2,2026-05-22T15:39:17,40.234284,uniformity_1sigma,0.3293481171131134,0.5259725474910145,0.4344983842311124
PINN20260517-KimLayered,2,2026-05-22T15:39:17,40.234284,ri,0.0017697106814011931,0.0025459114219283565,0.5140414040484939
PINN20260517-KimLayered,2,2026-05-22T15:39:17,40.234284,stress,45.33837127685547,63.90438566962756,0.03253822977581433
PINN20260517-KimLayered,3,2026-05-22T15:40:00,76.26654,thickness,206.88099670410156,384.37408536476545,0.9661596052806452
PINN20260517-KimLayered,3,2026-05-22T15:40:00,76.26654,max_thickness,204.56622314453125,373.92744533532175,0.9697871225123504
PINN20260517-KimLayered,3,2026-05-22T15:40:00,76.26654,min_thickness,212.58251953125,382.9009540664531,0.9641025326050786
PINN20260517-KimLayered,3,2026-05-22T15:40:00,76.26654,deposition_rate,816.6172485351562,1149.7869367843766,0.6929301741757828
PINN20260517-KimLayered,3,2026-05-22T15:40:00,76.26654,uniformity_range,0.6039465069770813,0.8289134392889476,0.044246876440917404
PINN20260517-KimLayered,3,2026-05-22T15:40:00,76.26654,uniformity_1sigma,0.3494599163532257,0.4590154596719231,0.025367020332962675
PINN20260517-KimLayered,3,2026-05-22T15:40:00,76.26654,ri,0.003925090190023184,0.005435735464294085,0.19035572629447572
PINN20260517-KimLayered,3,2026-05-22T15:40:00,76.26654,stress,57.341033935546875,74.6827175508581,0.49862206270978127
PINN20260517-KimLayered,4,2026-05-22T15:41:20,45.529426,thickness,292.5440673828125,489.04982811059244,0.9692075488091446
PINN20260517-KimLayered,4,2026-05-22T15:41:20,45.529426,max_thickness,289.2560119628906,486.50716207472215,0.9705526028020564
PINN20260517-KimLayered,4,2026-05-22T15:41:20,45.529426,min_thickness,324.1952209472656,539.5898036935093,0.9608601916258931
PINN20260517-KimLayered,4,2026-05-22T15:41:20,45.529426,deposition_rate,241.05726623535156,313.1552006393954,0.9734803778125761
PINN20260517-KimLayered,4,2026-05-22T15:41:20,45.529426,uniformity_range,0.5348093509674072,0.6533966932138348,-0.3537030434034838
PINN20260517-KimLayered,4,2026-05-22T15:41:20,45.529426,uniformity_1sigma,0.3292698264122009,0.4210614554737799,-0.4421170620028816
PINN20260517-KimLayered,4,2026-05-22T15:41:20,45.529426,ri,0.002450239146128297,0.00337123695492193,0.7127692239078073
PINN20260517-KimLayered,4,2026-05-22T15:41:20,45.529426,stress,31.56561851501465,44.58933848405146,0.7576803357875596
PINN20260517-KimLayered,5,2026-05-22T15:42:09,132.818173,thickness,261.73974609375,412.57135746437854,0.9266578224888402
PINN20260517-KimLayered,5,2026-05-22T15:42:09,132.818173,max_thickness,279.1090087890625,423.62872527131583,0.9294689848267231
PINN20260517-KimLayered,5,2026-05-22T15:42:09,132.818173,min_thickness,267.0792236328125,424.62040032834034,0.9125645253669666
PINN20260517-KimLayered,5,2026-05-22T15:42:09,132.818173,deposition_rate,683.54443359375,1135.9344721417692,0.8513030565411397
PINN20260517-KimLayered,5,2026-05-22T15:42:09,132.818173,uniformity_range,0.5848020911216736,0.8224015655865407,0.5801016492232622
PINN20260517-KimLayered,5,2026-05-22T15:42:09,132.818173,uniformity_1sigma,0.34186816215515137,0.4759705102885602,0.519198012859809
PINN20260517-KimLayered,5,2026-05-22T15:42:09,132.818173,ri,0.003949013072997332,0.0052424692455943,0.3980279418779036
PINN20260517-KimLayered,5,2026-05-22T15:42:09,132.818173,stress,50.99098205566406,72.96192085280684,0.32557742942359535
PINN20260517-KimLayered,6,2026-05-22T15:44:24,70.951347,thickness,433.8680419921875,732.1809458733545,0.858438251916985
PINN20260517-KimLayered,6,2026-05-22T15:44:24,70.951347,max_thickness,560.257568359375,948.7741762400576,0.806748963554122
PINN20260517-KimLayered,6,2026-05-22T15:44:24,70.951347,min_thickness,518.1747436523438,894.0153102715858,0.7663525650724586
PINN20260517-KimLayered,6,2026-05-22T15:44:24,70.951347,deposition_rate,438.6726379394531,640.7642165804829,0.92033218247324
PINN20260517-KimLayered,6,2026-05-22T15:44:24,70.951347,uniformity_range,0.5382052659988403,1.016719345906307,0.290074647092472
PINN20260517-KimLayered,6,2026-05-22T15:44:24,70.951347,uniformity_1sigma,0.30564945936203003,0.5203148231798149,0.34072798383475333
PINN20260517-KimLayered,6,2026-05-22T15:44:24,70.951347,ri,0.002568923868238926,0.004205926469713389,0.4974215412147508
PINN20260517-KimLayered,6,2026-05-22T15:44:24,70.951347,stress,44.8245735168457,67.73747650050339,0.3977464208628043
PINN20260517-KimLayered,7,2026-05-22T15:45:38,81.339211,thickness,243.68023681640625,473.54814301188003,0.9426155451113754
PINN20260517-KimLayered,7,2026-05-22T15:45:38,81.339211,max_thickness,316.3634948730469,533.2927198077994,0.9320460194980722
PINN20260517-KimLayered,7,2026-05-22T15:45:38,81.339211,min_thickness,244.28424072265625,499.08782418528307,0.931010013452091
PINN20260517-KimLayered,7,2026-05-22T15:45:38,81.339211,deposition_rate,797.9405517578125,1034.4709396594958,0.7371953129458075
PINN20260517-KimLayered,7,2026-05-22T15:45:38,81.339211,uniformity_range,0.5318248867988586,0.8362577662656155,0.24330555779403973
PINN20260517-KimLayered,7,2026-05-22T15:45:38,81.339211,uniformity_1sigma,0.2978592813014984,0.44060883188006217,0.21057399299770407
PINN20260517-KimLayered,7,2026-05-22T15:45:38,81.339211,ri,0.003946185111999512,0.005256880518573466,0.1907702790682858
PINN20260517-KimLayered,7,2026-05-22T15:45:38,81.339211,stress,57.378849029541016,80.76151233725133,0.38489241329820034
PINN20260517-KimLayered,8,2026-05-22T15:47:03,45.109478,thickness,403.3817138671875,513.3487788531302,0.9162915686294892
PINN20260517-KimLayered,8,2026-05-22T15:47:03,45.109478,max_thickness,412.0336608886719,511.9236851084349,0.9234958141202241
PINN20260517-KimLayered,8,2026-05-22T15:47:03,45.109478,min_thickness,409.61090087890625,556.7512909729082,0.8902358659682679
PINN20260517-KimLayered,8,2026-05-22T15:47:03,45.109478,deposition_rate,362.3677062988281,450.3427514127434,0.9388161849362263
PINN20260517-KimLayered,8,2026-05-22T15:47:03,45.109478,uniformity_range,0.7996243834495544,1.1419688108063333,0.24867998582563022
PINN20260517-KimLayered,8,2026-05-22T15:47:03,45.109478,uniformity_1sigma,0.49646681547164917,0.6262640092238376,0.3410003728774169
PINN20260517-KimLayered,8,2026-05-22T15:47:03,45.109478,ri,0.004170007538050413,0.0060238273333810015,0.3644427659396574
PINN20260517-KimLayered,8,2026-05-22T15:47:03,45.109478,stress,50.43214416503906,79.29334505689931,0.4453292137399538
PINN20260517-KimLayered,9,2026-05-22T15:47:51,54.346286,thickness,229.3800048828125,336.26385891513826,0.9512021500602813
PINN20260517-KimLayered,9,2026-05-22T15:47:51,54.346286,max_thickness,357.7259216308594,712.772031402748,0.8484474775516504
PINN20260517-KimLayered,9,2026-05-22T15:47:51,54.346286,min_thickness,261.3332214355469,428.4541435498086,0.9121894568414864
PINN20260517-KimLayered,9,2026-05-22T15:47:51,54.346286,deposition_rate,318.7626647949219,533.6525964988833,0.9510637163968875
PINN20260517-KimLayered,9,2026-05-22T15:47:51,54.346286,uniformity_range,0.41520583629608154,0.6196240243802096,0.6956369590733225
PINN20260517-KimLayered,9,2026-05-22T15:47:51,54.346286,uniformity_1sigma,0.24412105977535248,0.37029141474704125,0.6060384008989863
PINN20260517-KimLayered,9,2026-05-22T15:47:51,54.346286,ri,0.0023533571511507034,0.0028467096874944765,0.13118215101713548
PINN20260517-KimLayered,9,2026-05-22T15:47:51,54.346286,stress,41.49641418457031,50.848400313609915,0.34497717540078954
PINN20260517-KimLayered,10,2026-05-22T15:48:48,78.628497,thickness,272.8753662109375,478.15050585563534,0.9393846471468096
PINN20260517-KimLayered,10,2026-05-22T15:48:48,78.628497,max_thickness,347.3864440917969,534.4823722537535,0.9293361574974548
PINN20260517-KimLayered,10,2026-05-22T15:48:48,78.628497,min_thickness,267.5644836425781,455.6437067490343,0.9408367424236777
PINN20260517-KimLayered,10,2026-05-22T15:48:48,78.628497,deposition_rate,379.65118408203125,537.8735620478105,0.9478537500294231
PINN20260517-KimLayered,10,2026-05-22T15:48:48,78.628497,uniformity_range,0.5237255096435547,0.8260502286052785,0.3911926522426217
PINN20260517-KimLayered,10,2026-05-22T15:48:48,78.628497,uniformity_1sigma,0.294819176197052,0.44121062746075074,0.3758992603433535
PINN20260517-KimLayered,10,2026-05-22T15:48:48,78.628497,ri,0.00315645057708025,0.0043983660049841345,0.45247973191757673
PINN20260517-KimLayered,10,2026-05-22T15:48:48,78.628497,stress,47.1147346496582,55.140580723983355,0.6054343620357042
