target           , MAE            , RMSE           , R2
deposition_rate  , 615.92 ± 270.59, 853.28 ± 348.65, 0.84 ± 0.12
max_thickness    , 385.03 ± 212.74, 635.92 ± 367.05, 0.88 ± 0.09
min_thickness    , 353.96 ± 165.40, 560.10 ± 288.94, 0.89 ± 0.08
ri               , 0.1119 ± 0.0047, 0.1121 ± 0.0049, -657.78 ± 597.76
stress           , 395.63 ± 182.01, 410.54 ± 174.06, -35.47 ± 39.04
thickness        , 340.97 ± 161.04, 541.06 ± 289.70, 0.90 ± 0.07
uniformity_1sigma, 0.52 ± 0.16    , 0.70 ± 0.20    , -0.96 ± 1.25
uniformity_range , 0.74 ± 0.17    , 1.04 ± 0.25    , -0.26 ± 0.74
