target           , MAE            , RMSE           , R2
deposition_rate  , 518.28 ± 174.09, 727.51 ± 205.86, 0.88 ± 0.08
max_thickness    , 492.17 ± 283.80, 797.21 ± 441.93, 0.81 ± 0.21
min_thickness    , 451.21 ± 295.38, 739.44 ± 440.28, 0.79 ± 0.26
ri               , 0.0034 ± 0.0009, 0.0049 ± 0.0014, 0.12 ± 0.20
stress           , 48.67 ± 9.82   , 68.26 ± 15.38  , 0.19 ± 0.63
thickness        , 434.00 ± 300.53, 709.80 ± 453.51, 0.82 ± 0.23
uniformity_1sigma, 0.34 ± 0.08    , 0.48 ± 0.11    , 0.15 ± 0.36
uniformity_range , 0.57 ± 0.14    , 0.87 ± 0.22    , 0.17 ± 0.33
